"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"11045",-0.3268,-1.73,36.9983,1.5
"11048",-0.1505,0.1,59.8778,1.5
"11052",-0.1516,0.55,59.9426,3.5
"11053",0.1045,-0.17,54.5586,2.5
"11054",-0.6824,-7,40.8205,1
"11055",0.0153,-0.3,56.1843,3
"11056",0.9063,-7,60.7309,2.5
"11057",0.1714,-7,59.8532,3.5
"11058",-0.128,1.23,57.5753,3
"11059",-0.1452,0.55,51.2894,4
"11061",0.8603,-0.17,51.191,4
"11062",-0.0832,-1,61.0038,3.5
"11063",0.6846,1.62,77.5771,3.5
"11065",0.2081,-0.07,63.4738,1
"11067",0.1969,0.94,51.6022,2.5
"11070",0.9351,0.51,57.7556,3
"11071",0.6861,-0.29,60.7686,2
"11074",-0.9226,-0.3,46.106,1
"11075",-0.2852,1.34,59.6919,2
"11076",-1.0147,-0.68,32.5812,1.5
"11077",0.8071,-0.58,37.7897,0.5
"11078",-1.0351,1.62,60.2738,3.5
"11079",0.557,-0.17,65.1761,3
"11080",0.9743,-1.82,31.3218,2
"11083",-0.874,0.95,56.678,3
"11086",-0.3067,-0.17,54.5744,1
"11087",1.5335,0.1,58.7687,3
"11089",-1.0486,0.94,48.8261,2
"11090",-0.2876,-0.17,42.7041,1.5
"11091",0.16,1.62,47.1868,3
"11092",0.041,-2.92,43.1804,2
"11093",-0.2655,0.1,50.5545,2
"11096",0.1105,-0.17,59.1793,1.5
